x_m,radius_m
0.0,0.019950000000000002
0.001,0.01992441630216885
0.002,0.019848288761735434
0.0030000000000000005,0.019723446875653274
0.004,0.019552807823506397
0.005,0.019340195711533333
0.006000000000000001,0.01909011940917449
0.007000000000000001,0.0188075326583384
0.008,0.018497598864683322
0.009000000000000001,0.01816547872808565
0.01,0.017816152978521134
0.011000000000000001,0.01745428631490518
0.012000000000000002,0.017084133250000112
0.013000000000000003,0.01670948254205789
0.014000000000000002,0.016333634406753277
0.015000000000000001,0.015959403598847198
0.016,0.015589141410565957
0.017,0.01522477028757361
0.018000000000000002,0.014867825786383768
0.019,0.014519501738903762
0.02,0.014180695584633059
0.021,0.013852051786047032
0.022000000000000002,0.013534002019685467
0.023000000000000003,0.013226801432027068
0.024000000000000004,0.012930560683255236
0.025000000000000005,0.012645273800479907
0.026000000000000006,0.012370842053740195
0.027000000000000003,0.012107094179878937
0.028000000000000004,0.011853803333820809
0.029000000000000005,0.0116107011620256
0.030000000000000002,0.011377489382753717
0.031000000000000007,0.011153849232409429
0.032,0.010939449103772168
0.033,0.01073395066524113
0.034,0.010537013713450505
0.035,0.010348299976677492
0.036000000000000004,0.010167476054425938
0.037000000000000005,0.009994215649910201
0.038,0.0098282012270001
0.03900000000000001,0.009669125201402052
0.04,0.00951669075719844
0.041,0.009370612364035656
0.042,0.009230616056911028
0.043000000000000003,0.009096439529333226
0.044000000000000004,0.008967832081314742
0.045000000000000005,0.008844554455921323
0.046000000000000006,0.008726378591706274
0.04700000000000001,0.008613087313082822
0.04800000000000001,0.00850447397635095
0.049,0.00840034208553879
0.05000000000000001,0.008300504889309751
0.051000000000000004,0.00820478496781297
0.05200000000000001,0.008113013816423015
0.053000000000000005,0.008025031431746708
0.054000000000000006,0.007940685904005635
0.05500000000000001,0.007859833018879001
0.05600000000000001,0.007782335871068009
0.057,0.007708064491183871
0.05800000000000001,0.007636895487036176
0.05900000000000001,0.0075687116999824085
0.060000000000000005,0.0075034018766719545
0.061000000000000006,0.007440860356262778
0.06200000000000001,0.007380986772992055
0.063,0.007323685773832317
0.064,0.007268866750852876
0.06500000000000002,0.0072164435878250745
0.066,0.007166334420552952
0.067,0.007118461410373374
0.068,0.007072750530247465
0.069,0.007029131362854964
0.07,0.006987536910102254
0.07033333333333334,0.00697411091909743
0.07066666666666667,0.006960900502570509
0.07100000000000001,0.006947903413461158
0.07133333333333335,0.006935117441267932
0.07166666666666667,0.006922540411404316
0.07200000000000001,0.0069101701845673096
0.07233333333333333,0.006898004656118368
0.07266666666666667,0.006886041755476416
0.07300000000000001,0.0068742794455227355
0.07333333333333333,0.00686271572201748
0.07366666666666667,0.006851348613027588
0.07400000000000001,0.006840176178365896
0.07433333333333333,0.006829196509041197
0.07466666666666667,0.006818407726719059
0.07500000000000001,0.006807807983193173
0.07533333333333334,0.0067973954598670346
0.07566666666666667,0.006787168367245743
0.07600000000000001,0.006777124944437723
0.07633333333333334,0.006767263458666173
0.07666666666666667,0.006757582204790033
0.07700000000000001,0.006748079504834299
0.07733333333333334,0.006738753707529487
0.07766666666666668,0.006729603187860052
0.07800000000000001,0.006720626346621604
0.07833333333333334,0.006711821609986727
0.07866666666666668,0.0067031874290792255
0.079,0.00669472227955665
0.07933333333333334,0.006686424661200891
0.07966666666666668,0.0066782930975167335
0.08,0.006670326135338156
0.08033333333333334,0.006662522344442262
0.08066666666666668,0.006654880317170644
0.081,0.006647398668058084
0.08133333333333334,0.006640076033468376
0.08166666666666668,0.006632911071237184
0.082,0.00662590246032176
0.08233333333333334,0.006619048900457383
0.08266666666666667,0.006612349111820396
0.083,0.006605801834697697
0.08333333333333334,0.006599405829162553
0.08366666666666667,0.006593159874756608
0.084,0.006587062770177963
0.08433333333333334,0.0065811133329752025
0.08466666666666667,0.006575310399247234
0.085,0.006569652823348854
0.08533333333333334,0.006564139477601876
0.08566666666666667,0.006558769252011762
0.08600000000000001,0.006553541053989596
0.08633333333333335,0.006548453808079326
0.08666666666666667,0.006543506455690145
0.08700000000000001,0.006538697954833926
0.08733333333333335,0.006534027279867588
0.08766666666666667,0.0065294934212403125
0.08800000000000001,0.006525095385245493
0.08833333333333335,0.006520832193777344
0.08866666666666667,0.006516702884092052
0.08900000000000001,0.006512706508573395
0.08933333333333335,0.0065088421345027275
0.08966666666666667,0.006505108843833254
0.09,0.0065015057329685
0.09033333333333333,0.006498031912544882
0.09066666666666667,0.006494686507218332
0.091,0.006491468655454843
0.09133333333333334,0.006488377509324906
0.09166666666666667,0.006485412234301723
